AtomicNumber,Symbol,Name,Period,Group,Category
1,H,Hydrogen,1,1,Nonmetal
2,He,Helium,1,18,Noble gas
3,Li,Lithium,2,1,Alkali metal
4,Be,Beryllium,2,2,Alkaline earth metal
5,B,Boron,2,13,Metalloid
6,C,Carbon,2,14,Nonmetal
7,N,Nitrogen,2,15,Nonmetal
8,O,Oxygen,2,16,Nonmetal
9,F,Fluorine,2,17,Halogen
10,Ne,Neon,2,18,Noble gas
11,Na,Sodium,3,1,Alkali metal
12,Mg,Magnesium,3,2,Alkaline earth metal
13,Al,Aluminum,3,13,Post-transition metal
14,Si,Silicon,3,14,Metalloid
15,P,Phosphorus,3,15,Nonmetal
16,S,Sulfur,3,16,Nonmetal
17,Cl,Chlorine,3,17,Halogen
18,Ar,Argon,3,18,Noble gas
19,K,Potassium,4,1,Alkali metal
20,Ca,Calcium,4,2,Alkaline earth metal
21,Sc,Scandium,4,3,Transition metal
22,Ti,Titanium,4,4,Transition metal
23,V,Vanadium,4,5,Transition metal
24,Cr,Chromium,4,6,Transition metal
25,Mn,Manganese,4,7,Transition metal
26,Fe,Iron,4,8,Transition metal
27,Co,Cobalt,4,9,Transition metal
28,Ni,Nickel,4,10,Transition metal
29,Cu,Copper,4,11,Transition metal
30,Zn,Zinc,4,12,Transition metal
31,Ga,Gallium,4,13,Post-transition metal
32,Ge,Germanium,4,14,Metalloid
33,As,Arsenic,4,15,Metalloid
34,Se,Selenium,4,16,Nonmetal
35,Br,Bromine,4,17,Halogen
36,Kr,Krypton,4,18,Noble gas
37,Rb,Rubidium,5,1,Alkali metal
38,Sr,Strontium,5,2,Alkaline earth metal
39,Y,Yttrium,5,3,Transition metal
40,Zr,Zirconium,5,4,Transition metal
41,Nb,Niobium,5,5,Transition metal
42,Mo,Molybdenum,5,6,Transition metal
43,Tc,Technetium,5,7,Transition metal
44,Ru,Ruthenium,5,8,Transition metal
45,Rh,Rhodium,5,9,Transition metal
46,Pd,Palladium,5,10,Transition metal
47,Ag,Silver,5,11,Transition metal
48,Cd,Cadmium,5,12,Transition metal
49,In,Indium,5,13,Post-transition metal
50,Sn,Tin,5,14,Post-transition metal
51,Sb,Antimony,5,15,Metalloid
52,Te,Tellurium,5,16,Metalloid
53,I,Iodine,5,17,Halogen
54,Xe,Xenon,5,18,Noble gas
55,Cs,Cesium,6,1,Alkali metal
56,Ba,Barium,6,2,Alkaline earth metal
57,La,Lanthanum,6,3,Lanthanide
58,Ce,Cerium,6,3,Lanthanide
59,Pr,Praseodymium,6,3,Lanthanide
60,Nd,Neodymium,6,3,Lanthanide
61,Pm,Promethium,6,3,Lanthanide
62,Sm,Samarium,6,3,Lanthanide
63,Eu,Europium,6,3,Lanthanide
64,Gd,Gadolinium,6,3,Lanthanide
65,Tb,Terbium,6,3,Lanthanide
66,Dy,Dysprosium,6,3,Lanthanide
67,Ho,Holmium,6,3,Lanthanide
68,Er,Erbium,6,3,Lanthanide
69,Tm,Thulium,6,3,Lanthanide
70,Yb,Ytterbium,6,3,Lanthanide
71,Lu,Lutetium,6,3,Lanthanide
72,Hf,Hafnium,6,4,Transition metal
73,Ta,Tantalum,6,5,Transition metal
74,W,Tungsten,6,6,Transition metal
75,Re,Rhenium,6,7,Transition metal
76,Os,Osmium,6,8,Transition metal
77,Ir,Iridium,6,9,Transition metal
78,Pt,Platinum,6,10,Transition metal
79,Au,Gold,6,11,Transition metal
80,Hg,Mercury,6,12,Transition metal
81,Tl,Thallium,6,13,Post-transition metal
82,Pb,Lead,6,14,Post-transition metal
83,Bi,Bismuth,6,15,Post-transition metal
84,Po,Polonium,6,16,Metalloid
85,At,Astatine,6,17,Halogen
86,Rn,Radon,6,18,Noble gas
87,Fr,Francium,7,1,Alkali metal
88,Ra,Radium,7,2,Alkaline earth metal
89,Ac,Actinium,7,3,Actinide
90,Th,Thorium,7,3,Actinide
91,Pa,Protactinium,7,3,Actinide
92,U,Uranium,7,3,Actinide
93,Np,Neptunium,7,3,Actinide
94,Pu,Plutonium,7,3,Actinide
95,Am,Americium,7,3,Actinide
96,Cm,Curium,7,3,Actinide
97,Bk,Berkelium,7,3,Actinide
98,Cf,Californium,7,3,Actinide
99,Es,Einsteinium,7,3,Actinide
100,Fm,Fermium,7,3,Actinide
101,Md,Mendelevium,7,3,Actinide
102,No,Nobelium,7,3,Actinide
103,Lr,Lawrencium,7,3,Actinide
104,Rf,Rutherfordium,7,4,Transition metal
105,Db,Dubnium,7,5,Transition metal
106,Sg,Seaborgium,7,6,Transition metal
107,Bh,Bohrium,7,7,Transition metal
108,Hs,Hassium,7,8,Transition metal
109,Mt,Meitnerium,7,9,Transition metal
110,Ds,Darmstadtium,7,10,Transition metal
111,Rg,Roentgenium,7,11,Transition metal
112,Cn,Copernicium,7,12,Transition metal
113,Nh,Nihonium,7,13,Post-transition metal
114,Fl,Flerovium,7,14,Post-transition metal
115,Mc,Moscovium,7,15,Post-transition metal
116,Lv,Livermorium,7,16,Post-transition metal
117,Ts,Tennessine,7,17,Halogen
118,Og,Oganesson,7,18,Noble gas
